Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"S", 12.47, 1,    7199.56,    0.0,         1, 2,    7199.56, -120.0,         1, 3,    7199.56,  120.0,         1
"LS_BUS", 12.47, 1,    7397.51,   -1.8,    1.0275, 2,    7391.22, -121.9,    1.0266, 3,    7374.44,  117.8,    1.0243
"FEEDERHEAD", 12.47, 1,    7397.36,   -1.8,    1.0275, 2,    7391.05, -121.9,    1.0266, 3,    7374.23,  117.8,    1.0243
"B12541", 12.47, 1,    7291.74,   -6.1,    1.0128, 0, 0, 0, 0, 0, 0, 0, 0
"B13552", 12.47, 1,    7290.38,   -6.1,    1.0126, 0, 0, 0, 0, 0, 0, 0, 0
"B41868", 12.47, 1,    7203.16,   -5.9,    1.0005, 2,    7292.43, -128.6,    1.0129, 0, 0, 0, 0
"B41869", 12.47, 1,    7199.79,   -5.9,         1, 2,    7289.44, -128.6,    1.0125, 0, 0, 0, 0
"B4609", 12.47, 1,       7422,   -4.9,    1.0309, 2,    7270.41, -125.0,    1.0098, 3,    7261.53,  113.3,    1.0086
"B34986", 12.47, 3,    7261.44,  113.3,    1.0086, 0, 0, 0, 0, 0, 0, 0, 0
"G43132", 12.47, 3,    7291.74,  116.4,    1.0128, 0, 0, 0, 0, 0, 0, 0, 0
"G43133", 12.47, 3,    7291.66,  116.4,    1.0128, 0, 0, 0, 0, 0, 0, 0, 0
"B18915", 12.47, 1,    7244.55,   -6.0,    1.0062, 2,    7179.96, -127.5,   0.99728, 3,    7453.36,  112.5,    1.0353
"B18916", 12.47, 1,    7241.59,   -6.0,    1.0058, 2,    7177.85, -127.5,   0.99699, 3,    7453.21,  112.5,    1.0352
"B4833", 12.47, 1,    7387.08,   -4.9,     1.026, 2,    7265.66, -125.6,    1.0092, 3,    7327.35,  113.5,    1.0177
"5862128364", 12.47, 1,    7387.08,   -4.9,     1.026, 2,    7265.66, -125.6,    1.0092, 3,    7327.35,  113.5,    1.0177
"B4787", 12.47, 1,    7416.15,   -4.8,    1.0301, 2,    7284.63, -125.1,    1.0118, 3,    7301.94,  113.6,    1.0142
"B4784", 12.47, 1,    7416.39,   -4.8,    1.0301, 2,    7284.19, -125.1,    1.0118, 3,    7300.33,  113.6,     1.014
"B45833", 12.47, 2,    7183.31, -126.2,   0.99774, 0, 0, 0, 0, 0, 0, 0, 0
"B45835", 12.47, 2,    7182.84, -126.2,   0.99768, 0, 0, 0, 0, 0, 0, 0, 0
"5925528209", 12.47, 3,    7287.76,  116.4,    1.0123, 0, 0, 0, 0, 0, 0, 0, 0
"5925528209A", 12.47, 3,    7287.76,  116.4,    1.0123, 0, 0, 0, 0, 0, 0, 0, 0
"6084829720", 12.47, 1,    7285.38,   -6.1,    1.0119, 0, 0, 0, 0, 0, 0, 0, 0
"B50640", 12.47, 1,    7284.82,   -6.1,    1.0118, 0, 0, 0, 0, 0, 0, 0, 0
