Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"TRANS_EQUIV", 13.2, 1,    7621.02,    0.0,         1, 2,    7621.02, -120.0,         1, 3,    7621.02,  120.0,         1
"K_LSB", 13.2, 1,    7694.87,   -1.6,    1.0097, 2,    7702.88, -121.4,    1.0107, 3,     7699.6,  118.5,    1.0103
"K21", 13.2, 1,    7694.87,   -1.6,    1.0097, 2,    7702.88, -121.4,    1.0107, 3,     7699.6,  118.5,    1.0103
"34097296", 13.2, 1,    7564.68,   -3.2,   0.99261, 0, 0, 0, 0, 0, 0, 0, 0
"10559391", 13.2, 1,    7564.59,   -3.2,   0.99259, 0, 0, 0, 0, 0, 0, 0, 0
"10558484", 13.2, 2,    7628.55, -122.2,     1.001, 0, 0, 0, 0, 0, 0, 0, 0
"10558483", 13.2, 2,    7628.45, -122.2,     1.001, 0, 0, 0, 0, 0, 0, 0, 0
"10548932", 13.2, 1,    7610.58,   -2.8,   0.99863, 2,    7645.93, -122.2,    1.0033, 3,    7588.85,  117.5,   0.99578
"10549227", 13.2, 1,    7610.32,   -2.9,    0.9986, 2,    7645.63, -122.2,    1.0032, 3,    7588.45,  117.5,   0.99573
"10548918", 13.2, 1,    7629.24,   -2.6,    1.0011, 2,    7657.35, -122.1,    1.0048, 3,    7617.04,  117.7,   0.99948
"10548919", 13.2, 1,    7626.45,   -2.6,    1.0007, 2,    7655.67, -122.1,    1.0045, 3,    7612.71,  117.7,   0.99891
"34092234", 13.2, 3,    7563.57,  117.3,   0.99246, 0, 0, 0, 0, 0, 0, 0, 0
"34092313", 13.2, 3,    7563.35,  117.3,   0.99243, 0, 0, 0, 0, 0, 0, 0, 0
"34095660", 13.2, 1,    7602.92,   -3.0,   0.99762, 2,     7635.8, -122.4,    1.0019, 3,    7580.07,  117.3,   0.99463
"34085491", 13.2, 1,    7602.75,   -3.0,    0.9976, 2,    7635.46, -122.4,    1.0019, 3,    7580.39,  117.3,   0.99467
"34057797", 13.2, 3,    7539.75,  117.4,   0.98934, 0, 0, 0, 0, 0, 0, 0, 0
"34054972", 13.2, 3,    7539.62,  117.4,   0.98932, 0, 0, 0, 0, 0, 0, 0, 0
"10548007", 13.2, 1,    7592.46,   -3.1,   0.99625, 2,    7634.67, -122.4,    1.0018, 3,    7574.23,  117.3,   0.99386
"10579832", 13.2, 3,    7574.22,  117.3,   0.99386, 0, 0, 0, 0, 0, 0, 0, 0
"34086311", 13.2, 1,    7567.71,   -3.2,     0.993, 0, 0, 0, 0, 0, 0, 0, 0
"10559275", 13.2, 1,    7566.77,   -3.2,   0.99288, 0, 0, 0, 0, 0, 0, 0, 0
"10558476", 13.2, 1,    7530.85,   -3.0,   0.98817, 2,    7578.89, -122.2,   0.99447, 3,    7514.91,  117.4,   0.98608
"10558475", 13.2, 1,    7530.85,   -3.0,   0.98817, 2,    7578.89, -122.2,   0.99447, 3,    7514.91,  117.4,   0.98608
"10549222", 13.2, 1,       7606,   -2.9,   0.99803, 2,    7638.97, -122.3,    1.0024, 3,    7580.97,  117.3,   0.99474
"10549221", 13.2, 1,    7605.47,   -2.9,   0.99796, 2,    7638.53, -122.3,    1.0023, 3,    7580.67,  117.3,    0.9947
"10548912", 13.2, 1,    7665.72,   -2.0,    1.0059, 2,    7681.48, -121.8,    1.0079, 3,    7670.19,  118.2,    1.0065
"10548913", 13.2, 1,    7660.94,   -2.1,    1.0052, 2,    7677.33, -121.8,    1.0074, 3,    7665.02,  118.1,    1.0058
"10559587", 13.2, 3,     7576.7,  117.3,   0.99418, 0, 0, 0, 0, 0, 0, 0, 0
"34091314", 13.2, 3,    7576.69,  117.3,   0.99418, 0, 0, 0, 0, 0, 0, 0, 0
"34085954", 13.2, 3,    7570.95,  117.4,   0.99343, 0, 0, 0, 0, 0, 0, 0, 0
"34085468", 13.2, 3,    7566.73,  117.4,   0.99288, 0, 0, 0, 0, 0, 0, 0, 0
"20344367", 13.2, 2,    7602.11, -122.2,   0.99752, 0, 0, 0, 0, 0, 0, 0, 0
"34054966", 13.2, 2,    7602.11, -122.2,   0.99752, 0, 0, 0, 0, 0, 0, 0, 0
"10558517", 13.2, 1,    7603.89,   -3.2,   0.99775, 2,    7651.93, -122.2,    1.0041, 3,    7562.57,  117.3,   0.99233
"10558958", 13.2, 1,    7603.51,   -3.2,    0.9977, 0, 0, 0, 0, 0, 0, 0, 0
"10557802", 13.2, 1,    7675.71,   -1.9,    1.0072, 2,    7688.91, -121.7,    1.0089, 3,    7680.52,  118.3,    1.0078
"10557182", 13.2, 1,    7674.33,   -1.9,     1.007, 2,    7687.87, -121.7,    1.0088, 3,    7679.15,  118.3,    1.0076
"20079696", 13.2, 3,    7579.16,  117.3,   0.99451, 0, 0, 0, 0, 0, 0, 0, 0
"10549020", 13.2, 3,    7578.71,  117.3,   0.99445, 0, 0, 0, 0, 0, 0, 0, 0
"34095590", 13.2, 1,    7674.76,   -1.9,    1.0071, 2,    7688.28, -121.7,    1.0088, 3,    7679.81,  118.3,    1.0077
"10548907", 13.2, 1,    7674.26,   -1.9,     1.007, 2,    7687.84, -121.7,    1.0088, 3,    7679.38,  118.3,    1.0077
"10548965", 13.2, 1,    7657.98,   -2.1,    1.0048, 2,    7674.18, -121.9,     1.007, 3,    7662.17,  118.1,    1.0054
"34090005", 13.2, 1,    7657.96,   -2.1,    1.0048, 2,    7674.08, -121.9,     1.007, 3,    7662.21,  118.1,    1.0054
"10548983", 13.2, 1,    7665.19,   -2.0,    1.0058, 0, 0, 0, 0, 0, 0, 0, 0
"34085372", 13.2, 1,    7665.16,   -2.0,    1.0058, 0, 0, 0, 0, 0, 0, 0, 0
"20416460", 13.2, 1,    7673.38,   -1.9,    1.0069, 0, 0, 0, 0, 0, 0, 0, 0
