
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus           Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

trans_equiv      7.613      0.999  0.0004065   0.005339 0.0003791  0.004979
k_lsb            7.691      1.009   0.005873    0.07637  0.006309   0.08203
k21              7.691      1.009   0.005873    0.07637  0.006309   0.08203
34097296         7.556     0.9915          0          0         0         0
10559391         7.556     0.9915          0          0         0         0
10558484         7.621          1          0          0         0         0
10558483         7.621          1          0          0         0         0
10548932         7.607     0.9982    0.01562     0.2054   0.03906    0.5134
10549227         7.607     0.9981    0.01565     0.2057   0.03912    0.5143
10548918         7.627      1.001     0.0124     0.1627   0.02879    0.3775
10548919         7.624          1    0.01291     0.1693   0.03041    0.3989
34092234         7.556     0.9914          0          0         0         0
34092313         7.555     0.9914          0          0         0         0
34095660         7.598      0.997    0.01535      0.202   0.03808    0.5012
34085491         7.598      0.997    0.01521     0.2002   0.03764    0.4953
34057797         7.532     0.9883          0          0         0         0
34054972         7.532     0.9883          0          0         0         0
10548007         7.592     0.9962    0.01715     0.2259   0.04157    0.5475
10579832         7.566     0.9928          0          0         0         0
34086311         7.559     0.9919          0          0         0         0
10559275         7.558     0.9918          0          0         0         0
10558476         7.533     0.9885    0.01935     0.2568    0.0435    0.5774
10558475         7.533     0.9885    0.01935     0.2568    0.0435    0.5774
10549222         7.601     0.9973    0.01583     0.2083   0.03962    0.5213
10549221           7.6     0.9973     0.0158     0.2079   0.03953    0.5201
10548912         7.665      1.006   0.007475    0.09753   0.01196     0.156
10548913          7.66      1.005   0.007622    0.09951   0.01252    0.1635
10559587         7.569     0.9931          0          0         0         0
34091314         7.569     0.9931          0          0         0         0
34085954         7.563     0.9924          0          0         0         0
34085468         7.559     0.9918          0          0         0         0
20344367         7.594     0.9965          0          0         0         0
34054966         7.594     0.9965          0          0         0         0
10558517         7.598      0.997    0.02236     0.2943   0.06069    0.7988
10558958         7.595     0.9966          0          0         0         0
10557802         7.674      1.007   0.006922     0.0902   0.01006    0.1311
10557182         7.673      1.007   0.006988    0.09108    0.0103    0.1342
20079696         7.571     0.9935          0          0         0         0
10549020         7.571     0.9934          0          0         0         0
34095590         7.673      1.007   0.007002    0.09126   0.01018    0.1327
10548907         7.673      1.007   0.007025    0.09156   0.01021     0.133
10548965         7.657      1.005   0.007668     0.1001   0.01247    0.1628
34090005         7.657      1.005    0.00766        0.1   0.01241     0.162
10548983         7.657      1.005          0          0         0         0
34085372         7.657      1.005          0          0         0         0
20416460         7.665      1.006          0          0         0         0
34054542         7.665      1.006          0          0         0         0
20396671         7.536     0.9888    0.01935     0.2568    0.0435    0.5772
10579447         7.536     0.9888    0.01935     0.2568    0.0435    0.5773
10558520         7.597     0.9968    0.02351     0.3095   0.06425    0.8457
10558583         7.642      1.003          0          0         0         0
34091315          7.57     0.9933          0          0         0         0
10555985          7.57     0.9933          0          0         0         0
10549011         7.598      0.997    0.01502     0.1977   0.03702    0.4872
10549010         7.598      0.997    0.01502     0.1977   0.03701    0.4871
